fecha,estacion,O3,NO2,PM25
2020-11-26 07:00:00,AJM,33.0038261414,11.3596134186,4.91420173645
2020-11-26 08:00:00,AJM,33.299785614,9.92081451416,4.83188533783
2020-11-26 09:00:00,AJM,33.9287986755,9.2005815506,5.66476106644
2020-11-26 10:00:00,AJM,36.4034004211,8.43373394012,5.90736579895
2020-11-26 11:00:00,AJM,39.3179130554,8.72188663483,5.25489425659
2020-11-26 12:00:00,AJM,32.6222305298,15.5052185059,6.93001508713
2020-11-26 13:00:00,AJM,26.1052684784,21.4954128265,9.69290542603
2020-11-26 14:00:00,AJM,27.6614589691,23.6593780518,13.7348175049
2020-11-26 15:00:00,AJM,33.7764930725,26.3922119141,14.525302887
2020-11-26 16:00:00,AJM,41.3864250183,25.3978462219,10.6212854385
2020-11-26 17:00:00,AJM,48.3317527771,22.5442371368,8.12397003174
2020-11-26 18:00:00,AJM,53.670879364,19.2516212463,7.25691699982
2020-11-26 19:00:00,AJM,69.2680511475,22.9120426178,21.714925766
2020-11-26 20:00:00,AJM,82.1267929077,20.9184131622,26.7577342987
2020-11-26 21:00:00,AJM,76.0614471436,16.6060066223,16.3410644531
2020-11-26 22:00:00,AJM,66.6586685181,15.8388442993,8.56811141968
2020-11-26 23:00:00,AJM,49.1343612671,20.2727012634,9.01054096222
2020-11-27 00:00:00,AJM,37.9906578064,28.5350246429,10.5022373199
2020-11-27 01:00:00,AJM,17.9195327759,41.544719696,10.6941719055
2020-11-27 02:00:00,AJM,28.3507194519,21.0702037811,7.06760835648
2020-11-27 03:00:00,AJM,32.4773254395,17.4568862915,6.46718168259
2020-11-27 04:00:00,AJM,45.618938446,10.5976877213,6.72931098938
2020-11-27 05:00:00,AJM,48.1245384216,9.97692775726,7.79828310013
2020-11-25 06:00:00,AJU,33.2172088623,12.0089073181,12.4046468735
2020-11-25 07:00:00,AJU,36.3929710388,8.01016807556,12.7842979431
2020-11-25 08:00:00,AJU,40.6705970764,3.56783485413,8.22389030457
2020-11-25 09:00:00,AJU,39.4931488037,3.70448184013,7.72608280182
2020-11-25 10:00:00,AJU,40.0512313843,3.33636832237,6.3181438446
2020-11-25 11:00:00,AJU,40.4997940063,3.17543148994,5.2704782486
2020-11-25 12:00:00,AJU,39.5811767578,4.38302087784,5.15821790695
2020-11-25 13:00:00,AJU,38.8354110718,4.57011413574,5.12239360809
2020-11-25 14:00:00,AJU,39.1205368042,4.78692865372,5.41445016861
2020-11-25 15:00:00,AJU,43.0895195007,3.66714930534,2.98287177086
2020-11-25 16:00:00,AJU,45.6624832153,3.47559189796,2.03859806061
2020-11-25 17:00:00,AJU,49.3231735229,5.6219086647,2.62782001495
2020-11-25 18:00:00,AJU,50.7500419617,12.7825841904,4.59817361832
2020-11-25 19:00:00,AJU,55.8720321655,16.1299858093,6.14349317551
2020-11-25 20:00:00,AJU,70.9444732666,13.3567533493,7.30030679703
2020-11-25 21:00:00,AJU,74.5741424561,10.4927463531,6.32639980316
2020-11-25 22:00:00,AJU,71.5723953247,10.481215477,5.43209600449
2020-11-25 23:00:00,AJU,57.9972839355,14.6799106598,5.45964765549
2020-11-26 00:00:00,AJU,32.1427459717,24.2711429596,5.02804517746
2020-11-26 01:00:00,AJU,17.2371902466,33.926235199,5.16917085648
2020-11-26 02:00:00,AJU,25.5383052826,21.9948348999,4.74304962158
2020-11-26 03:00:00,AJU,31.6227340698,15.0270042419,4.36492681503
2020-11-26 04:00:00,AJU,41.8967475891,9.637134552,4.09238290787
2020-11-26 05:00:00,AJU,44.965057373,11.0216398239,8.53258800507
2020-11-26 06:00:00,AJU,56.550907135,6.35442256927,13.4231414795
2020-11-26 07:00:00,AJU,56.9480781555,5.50062942505,15.7212123871
2020-11-26 08:00:00,AJU,59.4696884155,4.44904947281,15.972240448
2020-11-26 09:00:00,AJU,60.6190338135,3.45559763908,13.5615091324
2020-11-26 10:00:00,AJU,58.0051727295,3.86189579964,11.7924137115
2020-11-26 11:00:00,AJU,53.0518112183,6.83692216873,11.0620279312
2020-11-26 12:00:00,AJU,54.9708595276,8.42177772522,12.2180490494
2020-11-26 13:00:00,AJU,50.1585922241,11.8855447769,12.8219413757
2020-11-26 14:00:00,AJU,46.4656715393,10.5339097977,11.1688051224
2020-11-26 15:00:00,AJU,49.6830024719,6.79767799377,6.09391212463
2020-11-26 16:00:00,AJU,52.5164451599,6.1979393959,3.65635561943
2020-11-26 17:00:00,AJU,55.5049743652,8.58444786072,4.06181955338
2020-11-26 18:00:00,AJU,57.5187454224,12.0129327774,4.8739027977
2020-11-26 19:00:00,AJU,63.4617271423,12.7885847092,5.88943719864
